"","predict(lm_modelo, test, na.action = ""na.pass"")"
"1",98477.0648252488
"2",148136.465849123
"3",163962.759653264
"4",168054.317469217
"5",247474.308425214
"6",171173.695663337
"7",160559.900910026
"8",163179.039943162
"9",206116.411023761
"10",116485.620113508
"11",200027.258451781
"12",99215.9920520949
"13",94004.4027101613
"14",152148.098663592
"15",125209.068682291
"16",347676.60964456
"17",274880.534850904
"18",325186.470754754
"19",307176.924962319
"20",433220.999307947
"21",331439.724896875
"22",257622.044555524
"23",184019.31419415
"24",176140.056851876
"25",184046.316590425
"26",206925.934231806
"27",331930.945825998
"28",249870.415408779
"29",193614.185300441
"30",213170.557441304
"31",210727.35182179
"32",99067.6762252291
"33",195028.159171696
"34",318104.135808296
"35",306434.180458699
"36",240585.797913185
"37",207479.634127625
"38",189339.162424373
"39",178884.332373436
"40",167773.377851267
"41",206910.153182416
"42",176432.563530446
"43",245820.970636499
"44",228741.371688668
"45",211561.507037411
"46",186653.244817499
"47",238401.593397061
"48",196349.178932935
"49",164111.25392519
"50",138501.969947054
"51",152717.340282918
"52",171654.420503916
"53",159990.981157601
"54",146926.830039847
"55",194379.888960775
"56",158975.69163528
"57",168953.21020448
"58",160462.021030734
"59",215534.273849608
"60",119891.680419571
"61",119418.189135409
"62",176890.656519181
"63",115027.36543333
"64",96793.7238050716
"65",108526.859789005
"66",125442.564657303
"67",110540.662876975
"68",129987.599705267
"69",137530.092192629
"70",186475.732115551
"71",128162.766407519
"72",83449.4987354111
"73",142406.745007028
"74",113069.794637123
"75",136952.761661291
"76",101222.167505223
"77",52544.1483134333
"78",165821.739286667
"79",192846.101677397
"80",135466.780362193
"81",127381.002097554
"82",133666.580326089
"83",214880.369005367
"84",85855.6372452678
"85",109434.324543648
"86",127180.410496101
"87",133210.905023971
"88",123578.748752616
"89",119054.766685792
"90",132140.746082544
"91",97194.6541789157
"92",138492.736294519
"93",145470.014426099
"94",117396.711929567
"95",158788.887125163
"96",139481.920575148
"97",111251.375163944
"98",89161.7270727233
"99",77216.2776040096
"100",140310.430886002
"101",136030.278444059
"102",121177.050501053
"103",107517.025576729
"104",185579.595722856
"105",146244.866235765
"106",230444.937977197
"107",89035.2767674383
"108",237279.539717137
"109",107580.304377747
"110",123181.62197398
"111",102773.752730197
"112",137344.344169391
"113",222892.383248193
"114",134867.815314225
"115",223643.648180059
"116",186379.364832263
"117",187393.604520179
"118",137536.550672936
"119",146207.925802443
"120",186407.359718575
"121",129332.090418335
"122",125553.848311184
"123",259312.348555703
"124",227193.484015543
"125",156123.274695828
"126",56933.891147595
"127",78036.7847250368
"128",148749.369239044
"129",91171.8308657032
"130",126149.924266829
"131",83045.1621092862
"132",108263.738633734
"133",110487.424323347
"134",142286.664588193
"135",127416.420915911
"136",242457.317218196
"137",209760.380018111
"138",215092.731603128
"139",191544.895844224
"140",183537.583827223
"141",37831.4000070719
"142",116870.158467512
"143",60719.9595881946
"144",276655.026748289
"145",234383.87851138
"146",156374.774632454
"147",157148.674076297
"148",222355.603878457
"149",197717.28452949
"150",162151.04415591
"151",132438.353263215
"152",198259.248099902
"153",152806.218735621
"154",126344.438123216
"155",71904.0914773871
"156",70663.8772275183
"157",72095.3449404589
"158",102012.791713536
"159",138472.82133027
"160",183509.322891138
"161",131484.73796447
"162",147398.20844794
"163",250112.346969046
"164",213424.770836318
"165",104181.335943034
"166",166343.859476147
"167",174230.028474633
"168",279303.972078566
"169",169594.344435296
"170",349831.319317327
"171",264111.94038122
"172",274354.794208975
"173",171722.80503774
"174",180154.569766286
"175",175986.774466293
"176",153920.615323939
"177",168278.36302006
"178",210783.299269008
"179",167323.592103117
"180",245522.49319479
"181",175459.835536155
"182",237968.273126096
"183",234425.837336259
"184",226533.869032107
"185",186713.016973001
"186",145584.192725781
"187",154000.25222837
"188",141030.336086801
"189",124749.862408623
"190",102942.691224202
"191",108157.944100201
"192",100301.688366737
"193",96121.6206867976
"194",153798.009646047
"195",148724.12367015
"196",150539.228616
"197",149641.8120398
"198",164160.218477939
"199",112893.85737053
"200",140279.80892581
"201",388925.996713071
"202",350179.639641065
"203",362486.115570517
"204",425416.503471845
"205",323304.55615851
"206",321817.538996751
"207",354397.885251565
"208",332279.74890488
"209",320737.179617083
"210",335718.485001592
"211",268694.176861032
"212",375274.641073077
"213",307417.355634982
"214",280481.403175289
"215",245042.536369857
"216",239664.335612107
"217",238613.285822323
"218",422653.563849817
"219",365503.081327364
"220",319779.411399528
"221",293323.95242852
"222",314147.309762736
"223",239814.424840205
"224",189859.626005872
"225",197318.99353978
"226",180927.87720547
"227",190816.571867246
"228",199812.915404626
"229",205969.737719313
"230",193451.40000165
"231",185409.062176928
"232",254578.149530869
"233",190980.594158274
"234",168515.286784361
"235",165144.571818519
"236",249033.325375724
"237",160201.748548787
"238",338046.18139236
"239",343723.857488155
"240",277715.717249242
"241",295753.950013117
"242",264611.9037421
"243",254007.848748665
"244",274708.635856412
"245",256329.176060195
"246",368659.48568705
"247",221962.328510079
"248",204920.321014513
"249",262416.887387519
"250",221613.013420801
"251",251661.105423007
"252",246186.850413753
"253",245967.792893088
"254",215158.02192739
"255",206992.166445415
"256",185439.269143446
"257",181861.464800187
"258",146386.830421885
"259",233503.601888234
"260",250084.080848424
"261",174756.36623145
"262",133370.604331562
"263",147938.327875257
"264",210113.225758623
"265",218444.660011496
"266",191029.65637342
"267",181892.897456558
"268",194237.937205307
