"","s1"
"1",99897.6231278321
"2",149941.896126919
"3",164838.98761574
"4",171946.80061436
"5",245956.122903263
"6",172451.736556404
"7",160953.626859407
"8",164651.82603332
"9",205965.57293667
"10",114478.496820989
"11",200573.315403546
"12",100847.156580323
"13",95499.2798529799
"14",156851.534121396
"15",128402.144258297
"16",347303.089504138
"17",274622.024835244
"18",322079.816438869
"19",305318.39944582
"20",428354.504547848
"21",329867.67016631
"22",258802.839324664
"23",185775.992006095
"24",179742.827222226
"25",184038.074762928
"26",207352.527311437
"27",330395.443286974
"28",246163.249754322
"29",192911.229160292
"30",210642.661377565
"31",213762.174877679
"32",99355.004745188
"33",195151.726408503
"34",316045.55874579
"35",305148.173332532
"36",238008.733935261
"37",206689.298036994
"38",190955.407502916
"39",179232.581938006
"40",169097.653936734
"41",205011.804427401
"42",175113.78065584
"43",240856.988973513
"44",227650.349389919
"45",210277.183075358
"46",187656.994858725
"47",238196.070754006
"48",197404.134124355
"49",163011.502970851
"50",138586.660365559
"51",149865.967333617
"52",172239.481488632
"53",160079.489259449
"54",147875.680439778
"55",195836.475539118
"56",160068.989594167
"57",168763.977312102
"58",160053.432499717
"59",215539.287340052
"60",121253.542327643
"61",121590.856153932
"62",175999.868241078
"63",113615.58687249
"64",97903.9249943366
"65",108742.344112572
"66",125601.604453764
"67",106275.202484225
"68",129980.942702224
"69",137086.005318459
"70",185589.818356335
"71",129566.051029192
"72",83333.185402426
"73",145855.544258055
"74",114221.921554989
"75",139910.252145305
"76",104067.056852983
"77",53418.8697743719
"78",168294.418055501
"79",194812.034642772
"80",136115.92727137
"81",128394.577604093
"82",134892.528883794
"83",211578.765013937
"84",87159.0764488329
"85",111558.864182699
"86",126503.616604241
"87",136365.744430219
"88",126638.73070344
"89",117901.027468057
"90",133799.463580177
"91",101087.870370187
"92",138254.161581248
"93",143195.843440746
"94",118498.691621862
"95",159923.94802158
"96",136191.136776708
"97",111810.053544226
"98",95049.7301360905
"99",86616.4640529304
"100",143980.655991565
"101",136497.279077101
"102",122242.584626007
"103",106950.109333832
"104",181348.204207971
"105",142961.342973001
"106",226400.425589912
"107",86264.2252720417
"108",235540.655629012
"109",107278.97368805
"110",123653.953953221
"111",102664.375078875
"112",137411.462193476
"113",225148.202811719
"114",137175.844704532
"115",223836.461295382
"116",191572.545103398
"117",190373.648182047
"118",136552.149814939
"119",144613.114936907
"120",186787.379048159
"121",128688.791528167
"122",126171.645775965
"123",259292.744066701
"124",227949.639549055
"125",157633.493208582
"126",56925.1248445266
"127",81305.2839969992
"128",149221.966158218
"129",90900.469717834
"130",129950.300051884
"131",82383.7738810613
"132",112739.248261442
"133",113909.798882032
"134",148593.630613512
"135",127940.659541808
"136",239471.311084142
"137",208711.470691723
"138",213835.982983177
"139",199492.581606807
"140",193359.803655789
"141",36196.4278400939
"142",114484.148683074
"143",63523.0114646562
"144",278121.434125326
"145",234974.516703102
"146",159258.648269767
"147",167718.988521214
"148",221068.22148513
"149",196584.134934427
"150",158788.204484404
"151",133210.464923881
"152",199106.231555473
"153",154509.292221398
"154",128592.262701686
"155",74017.1003277363
"156",73141.481660486
"157",77170.2295008369
"158",104531.408670629
"159",138771.590154241
"160",189028.805654925
"161",133889.318012008
"162",151055.182072239
"163",252202.886227152
"164",214731.738318776
"165",105624.497549932
"166",167814.132116065
"167",175280.842263149
"168",278817.551530945
"169",171017.120351877
"170",347391.517272725
"171",261871.280124071
"172",272730.364819263
"173",171514.791502993
"174",181347.564338346
"175",177206.409761349
"176",157112.069085438
"177",170011.675630149
"178",212034.874138395
"179",170181.265368068
"180",245176.00524517
"181",176488.496303662
"182",237012.176327844
"183",233518.435832236
"184",225684.869055367
"185",187227.575454388
"186",146437.65212558
"187",155102.471612058
"188",139454.148895053
"189",124624.659549846
"190",102796.167743373
"191",106876.992307069
"192",101716.846776491
"193",98283.9917826285
"194",158698.01831632
"195",152612.468317296
"196",154029.923214746
"197",154787.88823443
"198",167444.037274127
"199",117756.848252592
"200",138551.283968985
"201",386136.133761487
"202",347846.78422752
"203",360649.871170741
"204",423536.90685889
"205",322469.464224405
"206",319182.57071943
"207",352089.459314398
"208",331050.129236189
"209",319606.872504814
"210",332093.213925709
"211",268548.198816988
"212",371859.97599543
"213",307017.197299194
"214",280041.467801552
"215",245776.13897975
"216",240446.966035117
"217",239711.165613703
"218",419703.655005536
"219",362406.732981553
"220",319705.165450383
"221",293057.479283555
"222",311466.40500992
"223",241185.942257948
"224",191848.082184439
"225",198905.746179475
"226",184472.749356852
"227",191056.12583702
"228",201381.108645765
"229",207850.617394613
"230",194997.34859256
"231",186925.264419873
"232",251942.602099676
"233",191166.891563162
"234",169374.111812695
"235",165072.903078546
"236",248687.963272189
"237",160996.665787
"238",335649.950291782
"239",340660.281702921
"240",277568.265443627
"241",295622.858912048
"242",261460.763825634
"243",250131.194179962
"244",270990.456971685
"245",253300.821784944
"246",364508.597977159
"247",219997.403204642
"248",204235.525893596
"249",262061.885068688
"250",222185.684215213
"251",249801.470044722
"252",246486.937782179
"253",243387.53819027
"254",213999.710240947
"255",205789.757594932
"256",187403.57843955
